timestamp,step,payload_hex,payload_int,raw_position,unwrapped_position,direction,elapsed_step_s,instant_cps,steady
193262.5006523,11,0000F5,245,29690,29690,+,1.3751767999783624,0.0,True
193262.6761011,11,0000F5,245,29690,29690,+,1.5506255999789573,0.0,True
193262.8523544,11,0000F5,245,29690,29690,+,1.7268788999936078,0.0,True
193263.0278966,11,0000F5,245,29690,29690,+,1.9024210999778006,0.0,True
193263.2040154,11,0000F5,245,29690,29690,+,2.078539899986936,0.0,True
193263.3797368,11,0000F5,245,29690,29690,+,2.2542612999968696,0.0,True
193263.5560035,11,0000F5,245,29690,29690,+,2.430527999997139,0.0,True
193263.7315329,11,0000F5,245,29690,29690,+,2.6060574000002816,0.0,True
193263.9075009,11,0000F5,245,29690,29690,+,2.7820253999962006,0.0,True
193264.0834449,11,0000F5,245,29690,29690,+,2.9579693999839947,0.0,True
